Dataset Partition	Overrepresented lemmas
44	(polysome : 0.0424),(stroby : 0.0228),(double : 0.0021),(camta : 0.0005),(rnaseq : 0.001),(mcherry : 0.0227),(plastidic : 0.0018),(ppl : 0.0001),(zt : 0.0323),(phytohormone : 0.0231),(cytochrome : 0.0316),(mixture : 0.0231),(compare : 0.0114),(bind : 0.0049),(participate : 0.0001),(xyloglucan : 0.0226),(ll : 0.0076),(� : 0.0228),(common : 0.0001),(spen : 0.0001),(systemic : 0.0002),(polysomal : 0.0229),(general : 0.0001),(minute : 0.0008),(min : 0.0192),(phosphatase : 0.0001),(positive : 0.018),(conditional : 0.011),(rax : 0.0227),(non : 0.0004),(dc : 0.0001),(signal : 0.0343),(express : 0.0051),(conserve : 0.0166),(pst : 0.0229),(week : 0.0041),(coilin : 0.041),(locally : 0.0034),(transcriptome : 0.0001),(pm : 0.0227),(vegitative : 0.0227),(pg : 0.02),(show : 0.0002),(rfr : 0.0316),(dhc : 0.0191),(jasmonate : 0.0027),(immunity : 0.0001),(mail : 0.0001),(strand : 0.0251),(phyllobilin : 0.0104),(transplanta : 0.02),(pmd : 0.0001),(lipopolysaccharide : 0.0125),(compound : 0.0228),(mobile : 0.0001),(eda : 0.0028),(external : 0.0196),(atg : 0.0316),(pad : 0.0449),(salicylic : 0.0031),(anthocyanin : 0.0013),(coi : 0.0279),(subunits : 0.0316),(lpstreate : 0.0125),(heat : 0.0007),(bplus : 0.0315),(sensitivity : 0.0001),(laibachii : 0.0026),(replicate : 0.0088),(ammonium : 0.0196),(timeserie : 0.0033),(deficient : 0.0001),(pipecolic : 0.0007),(rep : 0.0025),(flood : 0.0034),(hub : 0.0001),(qsub : 0.0438),(cypa : 0.0316),(landscape : 0.0499),(pre : 0.0001),(seedling : 0.0056),(differentially : 0.0227),(stand : 0.0226),(transcript : 0.0077),(regime : 0.0001),(ko : 0.0125),(nf : 0.0201),(medb : 0.0316),(old : 0.0001),(thirteen : 0.0453),(atlbr : 0.0125),(analysis : 0.0001),(negatively : 0.0074),(core : 0.0069),(vpz : 0.0022),(sow : 0.0461),(pseudomonas : 0.0191),(lps : 0.0125),(cold : 0.0405),(effect : 0.003),(response : 0.0245),(tisue : 0.0201),(fluctuate : 0.0022),(regulator : 0.0026),(chinensis : 0.0231),(encode : 0.0316),(tr : 0.0013),(poplar : 0.0226),(cpl : 0.0313),(promote : 0.0173),(bay : 0.0315),(transposable : 0.0033),(nh : 0.0196),(ja : 0.0054),(comparison : 0.0097),(leave : 0.0009),(xve : 0.02),(meda : 0.0316),(tpr : 0.0201),(analyze : 0.0125),(self : 0.0001),(drb : 0.0003),(mutant : 0.0001),(possess : 0.0316),(pap : 0.0003),(importance : 0.0125),(essential : 0.0081),(main : 0.0001),(glutathione : 0.0001),(salk : 0.0318),(commensal : 0.0025),(elybur : 0.0414),(representative : 0.0001),(strobilurin : 0.0228),(fypp : 0.0125),(pathway : 0.0129),(grxs : 0.0227),(cu : 0.0447),(potential : 0.0227),(h : 0.0001),(sdcgfp : 0.0203),(inoculate : 0.0176),(transcriptional : 0.0054),(adaptive : 0.0227),(schlechtendalia : 0.0231),(feronia : 0.005),(acid : 0.0005),(gd : 0.0316),(fluctuating : 0.0316),(tomato : 0.0061),(degradation : 0.0131),(domain : 0.0043),(syringae : 0.0001),(dehydration : 0.0421),(atpase : 0.0064),(kinetic : 0.0003),(mock : 0.0002),(splicing : 0.0091),(colonize : 0.0088),(yb : 0.0201),(element : 0.0083),(day : 0.025),(energy : 0.0228),(pp : 0.0352),(circadian : 0.0094),(chlorophyll : 0.0104),(frsd : 0.0227),(colsh : 0.0229),(temperature : 0.0001),(internal : 0.0196),(substitution : 0.0316),(dcl : 0.0355),(atmc : 0.0005),(light : 0.0107),(nucleosome : 0.0111),(critical : 0.0005),(combination : 0.0002),(vc : 0.0201),(pv : 0.0026),(sa : 0.0269),(status : 0.0228),(biosynthesis : 0.0119),(expression : 0.0001),(monooxygenase : 0.0316),(avrrpm : 0.0042),(protein : 0.0001),(whyph : 0.023),(defense : 0.0479),(gene : 0.0001),(characterization : 0.0001),(remodelling : 0.0028),(chain : 0.0048),(q : 0.0438),(nuclear : 0.0079),(phyllosphere : 0.0001),(regulate : 0.0001),(indicate : 0.0001),(cr : 0.0228),(shock : 0.0013),(clf : 0.0072),(khd : 0.0001),(interact : 0.0232),(deviation : 0.0001),(solution : 0.0231),(phenotype : 0.0115),(atnusg : 0.0201),(frs : 0.0227),(pxx : 0.0227),(r : 0.0006),(touch : 0.0013),(piezo : 0.0005),(sample : 0.0052),(glycosyltransferase : 0.0226),(leaf : 0.0001),(wk : 0.0316),(profile : 0.0006),(organ : 0.0239),(suppresses : 0.0453),(collection : 0.0039),(expose : 0.0018),(share : 0.0001),(nrp : 0.0125),(nadase : 0.0227),(arahg : 0.0009),(plant : 0.0001),(cad : 0.0001),(radiation : 0.0016),(parametric : 0.0229),(grid : 0.0191),(sepal : 0.0447),(land : 0.0226),(plasticity : 0.0227),(pathogen : 0.0001),(dexamethasone : 0.0227),(silence : 0.0037),(high : 0.0001),(know : 0.0316),(acquire : 0.0017),(treatment : 0.044),(acclimation : 0.0035)
45	(mdpcb : 0.0042),(gfp : 0.0366),(chip : 0.0001),(demethylation : 0.0242),(igg : 0.0104),(histone : 0.0043),(eccdna : 0.0086),(instability : 0.0256),(hac : 0.0444),(assembly : 0.0008),(immature : 0.0086),(xanthomonas : 0.0105),(population : 0.0325),(input : 0.0024),(htr : 0.0481),(state : 0.0454),(hctderby : 0.0174),(deliver : 0.0105),(deplete : 0.0214),(contig : 0.0001),(mybr : 0.0275),(campestris : 0.0105),(trb : 0.0116),(structural : 0.0086),(chromatin : 0.0001),(loh : 0.0086),(structure : 0.0103),(ion : 0.0156),(ser : 0.0488),(reorganization : 0.0087),(bripbrip : 0.0086),(germline : 0.0001),(rep : 0.0024),(telobox : 0.0199),(introduction : 0.0087),(scale : 0.0099),(transient : 0.0088),(prevent : 0.019),(snf : 0.0113),(despite : 0.0087),(silencing : 0.0085),(acetyltransferase : 0.0115),(chipseq : 0.0291),(nad : 0.0242),(break : 0.0088),(raw : 0.0133),(massive : 0.0086),(remodeler : 0.0086),(brahma : 0.0086),(american : 0.0087),(poliv : 0.0273),(bur : 0.0324),(lowr : 0.0459),(fine : 0.0091),(maintain : 0.0005),(fun : 0.0085),(connect : 0.0171),(kme : 0.0085),(coldair : 0.0085),(gcn : 0.017),(male : 0.0041),(pab : 0.0086),(polii : 0.0199),(hkme : 0.0035),(receive : 0.0105),(ref : 0.0484),(swi : 0.0086),(associate : 0.0398),(source : 0.0087),(nucleolar : 0.0087),(remodeling : 0.0171),(ino : 0.0171),(edm : 0.0218),(testa : 0.0086),(xcc : 0.0105),(ig : 0.0088),(recruit : 0.0284),(l : 0.0013),(spm : 0.0001),(brm : 0.0366),(intronic : 0.0362),(eviction : 0.0171),(noncode : 0.0444),(pif : 0.0276),(signature : 0.0001),(north : 0.0091),(ct : 0.0004),(resistance : 0.0487),(ip : 0.0001),(gene : 0.0384),(eurasia : 0.0087),(beam : 0.0086),(lesno : 0.0028),(hkac : 0.0391),(renseq : 0.0002),(reveal : 0.0069),(telomere : 0.0413),(interact : 0.0252),(cbp : 0.02),(genotype : 0.0432),(xmyc : 0.0276),(r : 0.0209),(colcp : 0.0405),(nucleolus : 0.0087),(cell : 0.0437),(brip : 0.0366),(identify : 0.0479),(nuclei : 0.0105),(xopd : 0.0105),(thermomorphogenesis : 0.0325),(active : 0.0171),(atxr : 0.0104),(dy : 0.0114),(metabolic : 0.0359),(ty : 0.0209),(multiple : 0.01),(experiment : 0.0015),(hcr : 0.0467),(distinct : 0.0006),(enrichment : 0.0001),(location : 0.0398)
46	(course : 0.0001),(hy : 0.0212),(bbx : 0.0059),(rna : 0.0001),(priming : 0.0358),(identical : 0.0001),(thaliana : 0.0007),(difference : 0.0001),(time : 0.0001),(organization : 0.0093),(th : 0.0259),(cold : 0.0001),(response : 0.0001),(st : 0.0293),(arabidopsis : 0.006),(epigenetic : 0.0014),(leave : 0.0024),(genetically : 0.0001),(datum : 0.0001),(impact : 0.0073),(timepoint : 0.0001),(splicing : 0.0002),(modulate : 0.0007),(seq : 0.0003),(evolution : 0.0232),(brassicaceae : 0.0093),(alternative : 0.0005),(plant : 0.0012)
47	(select : 0.0114),(atac : 0.0001),(cdna : 0.0114),(mrnas : 0.0128),(thaliana : 0.0279),(study : 0.0001),(correspond : 0.0114),(tn : 0.0001),(chromatin : 0.0001),(dna : 0.0001),(sequence : 0.0001),(early : 0.0281),(librarie : 0.0001),(capture : 0.0001),(nextera : 0.0001),(role : 0.0299),(isolation : 0.0132),(genomic : 0.0013),(transposase : 0.0001),(eti : 0.0172),(accessible : 0.0001)
48	(eastern : 0.0001),(gy : 0.0161),(causative : 0.0307),(specific : 0.0031),(meimig : 0.0001),(gr : 0.0001),(mutation : 0.0001),(female : 0.0002),(low : 0.0001),(carbon : 0.0001),(recqab : 0.0001),(population : 0.0001),(x : 0.0001),(j : 0.0001),(msh : 0.0001),(derive : 0.0008),(strain : 0.0141),(thaliana : 0.0325),(sibling : 0.0011),(call : 0.0011),(m : 0.0251),(eah : 0.0307),(col : 0.0001),(val : 0.0246),(parallel : 0.0002),(crossover : 0.0001),(novo : 0.0001),(ion : 0.0037),(mutagenomic : 0.0307),(artefact : 0.0011),(asyhete : 0.0002),(type : 0.0006),(innovation : 0.0487),(bcf : 0.0001),(flowering : 0.0003),(mutational : 0.0373),(arabidopsis : 0.0009),(× : 0.0115),(wild : 0.0044),(comparison : 0.0171),(sequence : 0.0001),(sible : 0.0011),(asy : 0.005),(reduction : 0.0002),(enable : 0.0002),(lineage : 0.0031),(coverage : 0.0001),(f : 0.0001),(ppx : 0.0001),(facile : 0.0307),(gamma : 0.0386),(pog : 0.0248),(sequecing : 0.0001),(france : 0.0001),(pof : 0.0489),(applicable : 0.0487),(pyrenee : 0.0001),(poi : 0.0269),(colonize : 0.0002),(rescue : 0.0002),(cmt : 0.0001),(evolutionary : 0.0003),(fig : 0.0287),(poc : 0.0421),(clc : 0.0001),(ressource : 0.0001),(dry : 0.0002),(de : 0.0005),(genome : 0.0001),(pob : 0.0008),(pyrenees : 0.0001),(irradiate : 0.0001),(genotype : 0.0001),(ler : 0.0001),(meiotic : 0.0001),(swn : 0.0246),(lane : 0.0001),(sample : 0.0001),(identify : 0.0001),(backcross : 0.0001),(recqa : 0.0001),(poe : 0.0002),(map : 0.0001),(new : 0.0001),(pj : 0.0001),(mapping : 0.0001),(espong : 0.0005),(location : 0.0001)
49	(segregate : 0.0001),(mdpcb : 0.0032),(mlnpx : 0.025),(representation : 0.0001),(population : 0.0001),(hctderby : 0.0128),(reduce : 0.0001),(structure : 0.0001),(prx : 0.014),(species : 0.0001),(introduction : 0.0001),(scale : 0.0001),(distortion : 0.0001),(misjcjt : 0.0011),(wide : 0.0001),(arabidopsis : 0.0257),(perform : 0.0001),(american : 0.0001),(sequence : 0.0164),(hmdsr : 0.0354),(fine : 0.0001),(ohmlnp : 0.0052),(rgoh : 0.0023),(f : 0.0001),(transmission : 0.0001),(source : 0.0001),(ratio : 0.0001),(mimsuk : 0.0009),(north : 0.0001),(hmimsuk : 0.001),(pool : 0.0001),(eurasia : 0.0001),(mifcct : 0.0142),(genome : 0.0033),(screen : 0.0001),(reveal : 0.0001),(hohlaobt : 0.0183),(mdtcr : 0.0004),(multiple : 0.0001),(p : 0.0001)
50	(double : 0.0037),(healing : 0.0074),(rna : 0.0001),(ha : 0.0323),(control : 0.0071),(rd : 0.0001),(b : 0.0003),(sumoylation : 0.0005),(cpsf : 0.0065),(deposition : 0.0074),(reader : 0.0065),(hour : 0.0205),(z : 0.0037),(fastq : 0.0012),(accession : 0.0001),(rt : 0.0149),(ascophyllum : 0.0164),(dof : 0.0148),(rootstock : 0.0074),(mm : 0.0007),(atglkglk : 0.0229),(nup : 0.0165),(nodosum : 0.0164),(transcription : 0.0277),(d : 0.0001),(pie : 0.0155),(hs : 0.0148),(salt : 0.0185),(quintuple : 0.0007),(extract : 0.0307),(s : 0.0001),(polyadenylation : 0.0273),(l : 0.0281),(cgtacg : 0.0074),(coltotalrna : 0.0023),(golden : 0.0229),(nucleosome : 0.0026),(library : 0.0001),(slide : 0.0003),(seq : 0.0001),(switch : 0.0005),(comprehensive : 0.0003),(gz : 0.0007),(wall : 0.0074),(development : 0.0077),(swr : 0.0003),(coupling : 0.0003),(seeding : 0.0005),(arabidopisis : 0.0165),(cgatgt : 0.0097),(snrk : 0.0007),(tf : 0.0371),(sumo : 0.0005),(libpl : 0.0001),(damage : 0.0267),(nacl : 0.0007),(p : 0.0077),(treatment : 0.0499),(hta : 0.0145)
51	(min : 0.0227),(imprint : 0.0223),(profiling : 0.0001),(polymorphism : 0.0068),(cultured : 0.02),(embryo : 0.0248),(transcriptome : 0.0027),(exprss : 0.0001),(illumina : 0.0074),(colxler : 0.0045),(emoy : 0.0125),(magnesium : 0.0001),(dtcap : 0.0024),(ribosome : 0.0332),(site : 0.0421),(elf : 0.0431),(oligo : 0.0024),(cvi : 0.0428),(highly : 0.0215),(salicylic : 0.0434),(lib : 0.0213),(technique : 0.0045),(heat : 0.0041),(biorep : 0.0432),(rep : 0.0002),(direct : 0.0251),(attenuate : 0.0171),(allele : 0.0045),(dynamic : 0.0084),(old : 0.0072),(base : 0.0022),(cost : 0.0045),(analysis : 0.0002),(downy : 0.0171),(mildew : 0.0171),(interaction : 0.0435),(deficiency : 0.0001),(jmj : 0.0001),(leave : 0.0001),(expand : 0.004),(ecotype : 0.0001),(lead : 0.0233),(microsample : 0.0082),(friut : 0.0045),(intraspecific : 0.0045),(fbl : 0.0103),(ma : 0.0355),(d : 0.0063),(epitranscriptome : 0.0099),(ddpi : 0.0171),(throughput : 0.0001),(effective : 0.0045),(hydathode : 0.0068),(degradation : 0.0238),(endosperm : 0.032),(miclip : 0.0047),(parental : 0.009),(day : 0.0075),(global : 0.0001),(columbia : 0.0001),(mrnaseq : 0.0142),(method : 0.0005),(subject : 0.0005),(expression : 0.0008),(water : 0.0422),(mature : 0.0005),(reciprocal : 0.0306),(jar : 0.0046),(aerial : 0.0415),(collect : 0.0253),(mg : 0.0001),(efr : 0.0237),(project : 0.0006),(ii : 0.0005),(nanopore : 0.0189),(high : 0.0128)
52	(pineapple : 0.0001),(mild : 0.0001),(transfer : 0.007),(young : 0.0278),(shape : 0.0016),(phloem : 0.0006),(atlas : 0.0038),(gibberellin : 0.0001),(phase : 0.0008),(grow : 0.0001),(activity : 0.0011),(fae : 0.0129),(oy : 0.0014),(autotrophy : 0.0001),(makr : 0.0072),(kas : 0.0045),(se : 0.0252),(response : 0.0001),(knox : 0.0045),(variation : 0.0001),(leave : 0.0001),(hydroxy : 0.0198),(ice : 0.0164),(nfa : 0.0083),(walhasb : 0.0012),(c : 0.0001),(pole : 0.0001),(iptdexh : 0.0046),(fatty : 0.0198),(transcriptional : 0.0001),(xyfp : 0.0072),(natural : 0.0001),(wei : 0.0045),(s : 0.0016),(± : 0.0126),(produce : 0.0286),(scrna : 0.0072),(bor : 0.0002),(develop : 0.0187),(pmakr : 0.0072),(bulk : 0.0263),(multifacete : 0.0001),(size : 0.0001),(development : 0.0078),(mrk : 0.0046),(ts : 0.0129),(ethylene : 0.0263),(drought : 0.0001),(transitioner : 0.0001),(kondara : 0.0083),(cytokinin : 0.0077),(coldexh : 0.0087),(distinct : 0.0104),(blh : 0.0069)
53	(trajectory : 0.0001),(stomatal : 0.0001),(atmlp : 0.0001),(lineage : 0.0001),(resolution : 0.0001),(develop : 0.0001),(pool : 0.0001),(single : 0.0001),(seq : 0.0001),(tmmp : 0.0001),(leaf : 0.0001),(cell : 0.0001),(smart : 0.0001)
54	(rna : 0.0001),(thaliana : 0.0001),(hybrid : 0.0001),(library : 0.0001),(shb : 0.0001),(seq : 0.0001),(libpl : 0.0355)
55	(zt : 0.0001),(rna : 0.0002),(mix : 0.0001),(transcriptome : 0.0001),(human : 0.0001),(thaliana : 0.0102),(gauss : 0.0001),(power : 0.0001),(arabidopsis : 0.0006),(bacteria : 0.0001),(leave : 0.0003),(pathogenic : 0.0001),(datum : 0.0001),(lettuce : 0.0001),(seq : 0.0012),(distribution : 0.0001),(sample : 0.0207),(leaf : 0.0032),(profile : 0.0001),(shoot : 0.0001),(simultaneous : 0.0001),(plant : 0.0331),(dag : 0.0001)
56	(iii : 0.0252),(profiling : 0.0002),(effector : 0.0013),(express : 0.0001),(control : 0.0055),(transcriptome : 0.0028),(exprss : 0.0087),(illumina : 0.0321),(computational : 0.0021),(emoy : 0.0003),(difference : 0.0244),(highly : 0.0001),(salicylic : 0.0001),(lib : 0.0001),(hour : 0.0068),(heat : 0.0015),(biorep : 0.0002),(wasabi : 0.0118),(germination : 0.0452),(waco : 0.0048),(attenuate : 0.0001),(seedling : 0.0055),(counter : 0.0021),(delta : 0.0457),(old : 0.0047),(estrogen : 0.0043),(downy : 0.0001),(mildew : 0.0001),(hr : 0.0382),(interaction : 0.0001),(hrcc : 0.0021),(spa : 0.0002),(microsample : 0.0137),(statistical : 0.0021),(pipeline : 0.0021),(ifama : 0.0022),(slh : 0.0047),(fbl : 0.0109),(d : 0.0041),(ddpi : 0.0001),(maker : 0.0118),(throughput : 0.0134),(differentiation : 0.0287),(acid : 0.0018),(hydathode : 0.0068),(title : 0.0118),(temperature : 0.0194),(induce : 0.0399),(fama : 0.0118),(method : 0.0242),(scream : 0.0118),(expression : 0.0001),(guard : 0.0118),(regulation : 0.0238),(test : 0.0485),(reveal : 0.0169),(lane : 0.0006),(aerial : 0.0003),(collect : 0.0433),(myrosin : 0.0118),(shoot : 0.0314),(assess : 0.0021),(jumonji : 0.0041),(ambient : 0.0002),(high : 0.0002),(acclimation : 0.0001)
57	(incompatible : 0.0205),(ch : 0.0249),(rna : 0.0001),(soil : 0.0411),(infection : 0.0438),(rp : 0.0228),(control : 0.0005),(tuescha : 0.0205),(cdm : 0.016),(dissect : 0.0004),(sucrose : 0.0001),(master : 0.0042),(replicate : 0.0001),(oeripab : 0.0042),(landscape : 0.0002),(seedling : 0.0001),(old : 0.0001),(analysis : 0.0001),(awtv : 0.0042),(bz : 0.0087),(dark : 0.0001),(nobiro : 0.0087),(h : 0.0001),(photosynthesis : 0.0001),(dcmu : 0.0002),(skip : 0.0042),(day : 0.0001),(solanacearum : 0.0042),(treat : 0.0001),(light : 0.0001),(signaling : 0.0304),(co : 0.0003),(taf : 0.0087),(seq : 0.0001),(microbiota : 0.0002),(nbr : 0.0087),(inhibit : 0.0001),(shoot : 0.0001),(ralstonia : 0.0042),(experiment : 0.0001)
58	(potent : 0.0176),(arf : 0.0212),(chip : 0.0005),(flooding : 0.0035),(unfold : 0.0033),(spaceflight : 0.0033),(signal : 0.0047),(ddd : 0.0058),(bzipg : 0.0033),(young : 0.0062),(phyllobilin : 0.0001),(micro : 0.0028),(etiolate : 0.0089),(ga : 0.0033),(relevance : 0.0033),(reprogramming : 0.0351),(mrna : 0.0143),(cpd : 0.0005),(seedling : 0.0001),(pao : 0.0058),(old : 0.0002),(analysis : 0.0219),(abi : 0.0001),(release : 0.0181),(precursor : 0.0149),(interaction : 0.0259),(senescence : 0.0402),(hormonal : 0.0093),(bl : 0.0032),(dark : 0.0032),(essential : 0.0195),(estradiol : 0.0061),(d : 0.0003),(pathway : 0.05),(recovery : 0.0068),(bzr : 0.0033),(brl : 0.0058),(degradation : 0.0001),(inhibitor : 0.0181),(myb : 0.0189),(o : 0.0132),(yfp : 0.0028),(rga : 0.0033),(apo : 0.0115),(deacetylase : 0.0301),(day : 0.0007),(chlorophyll : 0.0001),(induce : 0.0214),(integrate : 0.0132),(pif : 0.0264),(illumination : 0.0066),(environmental : 0.0066),(competitor : 0.0149),(pxve : 0.0061),(role : 0.0002),(hyl : 0.0093),(bzip : 0.0098),(chain : 0.0131),(small : 0.0277),(pph : 0.0058),(suppress : 0.0149),(reveal : 0.0365),(br : 0.0001),(important : 0.0001),(âµm : 0.0061),(repeat : 0.0001),(treatment : 0.0289)
59	(input : 0.0005),(thaliana : 0.0108),(col : 0.012),(atdgcr : 0.0005),(chipseq : 0.0005),(arabidopsis : 0.0202),(epigenomic : 0.0005)
60	(delimited : 0.0429),(cultured : 0.0365),(cim : 0.0114),(cimd : 0.012),(vitro : 0.0009),(glucose : 0.0118),(trajectory : 0.0001),(sim : 0.0037),(spatially : 0.0431),(maturation : 0.0001),(regeneration : 0.0075),(live : 0.0036),(analysis : 0.0001),(cellular : 0.0001),(stomatal : 0.0087),(establish : 0.0429),(atmlp : 0.0321),(lineage : 0.0082),(network : 0.0439),(repression : 0.0453),(link : 0.0001),(siz : 0.0003),(slx : 0.0001),(induce : 0.0026),(develop : 0.0162),(zat : 0.0463),(callus : 0.0238),(germinating : 0.0077),(medium : 0.001),(sweet : 0.0077),(tissue : 0.0001),(cell : 0.0014),(meristem : 0.0001),(profile : 0.0221),(shoot : 0.0227),(specialization : 0.0001),(plant : 0.0001),(simd : 0.0036),(smart : 0.0069),(bru : 0.0036)
61	(allopolyploidy : 0.0177),(egg : 0.0013),(complete : 0.0001),(specific : 0.0001),(histone : 0.0351),(excision : 0.0039),(modification : 0.0004),(biological : 0.0002),(concept : 0.0001),(brassicae : 0.0009),(dhh : 0.0178),(non : 0.0001),(piereis : 0.0009),(signal : 0.0233),(retrograde : 0.0003),(ha : 0.0133),(insect : 0.0009),(complex : 0.0001),(untreated : 0.0484),(accessibility : 0.0177),(trait : 0.0002),(linker : 0.0024),(rnai : 0.0175),(phase : 0.0012),(epiril : 0.0001),(expa : 0.0174),(mediator : 0.0001),(bioreplicate : 0.0255),(biotic : 0.0001),(heritable : 0.0001),(stage : 0.0043),(search : 0.0286),(polyadenylate : 0.0175),(ddx : 0.0178),(replicate : 0.0135),(ds : 0.0456),(dna : 0.0396),(subunit : 0.0001),(rep : 0.0001),(partly : 0.0003),(calcium : 0.0338),(fc : 0.0009),(n : 0.0001),(evoke : 0.0187),(editing : 0.0008),(dimension : 0.0177),(seedle : 0.0155),(clb : 0.0176),(tanorexia : 0.0255),(otp : 0.0286),(line : 0.0001),(effect : 0.0001),(response : 0.0005),(negative : 0.0001),(cipkmock : 0.0173),(senescence : 0.0001),(improve : 0.0176),(xrn : 0.0175),(edit : 0.0031),(herbivory : 0.0009),(epigenetic : 0.018),(w : 0.0044),(oea : 0.0001),(cytonuclear : 0.0177),(anac : 0.0001),(exonuclease : 0.0175),(disease : 0.0001),(mutant : 0.0001),(dark : 0.0001),(regulatory : 0.0082),(helicase : 0.0178),(module : 0.0001),(mef : 0.0257),(stably : 0.0175),(transcriptional : 0.0001),(loci : 0.0001),(mito : 0.0286),(heterochromatin : 0.0089),(prime : 0.0001),(predictive : 0.0031),(day : 0.0001),(growth : 0.0001),(epiqtl : 0.0001),(excise : 0.0077),(quantitative : 0.0001),(induce : 0.0001),(stress : 0.0001),(function : 0.0001),(provide : 0.0001),(method : 0.0231),(depth : 0.0453),(cause : 0.0003),(performance : 0.0351),(resistance : 0.0001),(yield : 0.0001),(ultradian : 0.0039),(eur : 0.0008),(dysfunction : 0.0003),(consequence : 0.0001),(different : 0.0001),(fewtl : 0.0111),(target : 0.0015),(ppr : 0.0003),(touch : 0.0183),(fep : 0.0209),(leaf : 0.0134),(abiotic : 0.0001),(proof : 0.0001),(major : 0.0001),(petiole : 0.0079),(plant : 0.0175),(oeb : 0.0001),(variant : 0.0173),(hcr : 0.0001),(reproductive : 0.0009),(vs : 0.0328),(apocarotenal : 0.0011),(p : 0.0001),(rhythm : 0.0039),(mitochondrial : 0.0043),(methylation : 0.0002),(' : 0.0175)
62	(read : 0.0001),(thaliana : 0.0001),(vegetative : 0.0001),(arabidopsis : 0.0001),(raw : 0.0001),(sequence : 0.0003),(growth : 0.0001),(sample : 0.0001),(leaf : 0.0001),(plant : 0.0006)
63	(enzyme : 0.0042),(involve : 0.0007),(thermosensor : 0.0052),(local : 0.0025),(dc : 0.003),(soil : 0.035),(infection : 0.0451),(glycolytic : 0.0042),(elf : 0.0066),(rs : 0.0052),(stage : 0.0112),(dna : 0.0051),(rep : 0.0172),(seedling : 0.0001),(old : 0.0192),(containig : 0.0052),(analysis : 0.0494),(negatively : 0.0368),(appear : 0.0003),(compaction : 0.0147),(brep : 0.0262),(hr : 0.0106),(variation : 0.0102),(bl : 0.048),(lead : 0.0309),(adaptation : 0.0006),(mutant : 0.0009),(c : 0.0304),(cryosensor : 0.0001),(repressive : 0.0233),(act : 0.0003),(solanoeclepin : 0.0001),(feronia : 0.0005),(tomato : 0.0001),(s : 0.0001),(day : 0.0149),(tetraploids : 0.0262),(treat : 0.0051),(nlr : 0.0042),(redundancy : 0.0262),(k : 0.0411),(signaling : 0.0357),(bin : 0.0001),(crosstalk : 0.0394),(brassinolide : 0.0001),(raptorb : 0.0001),(zin : 0.0109),(enoalse : 0.0042),(basis : 0.0441),(cleavage : 0.0098),(tissue : 0.0215),(leaf : 0.0238),(collect : 0.0412),(profile : 0.0015),(rqs : 0.0001),(polycomb : 0.039),(shoot : 0.015),(neo : 0.0262),(ribosomes : 0.0001),(prion : 0.0052),(treatment : 0.0188),(methylation : 0.0007)
64	(chip : 0.0001),(histone : 0.0003),(wound : 0.0001),(modification : 0.0001),(companion : 0.0235),(non : 0.0237),(sxaqseqsyapl : 0.0054),(input : 0.0364),(htr : 0.0396),(index : 0.0292),(origin : 0.0108),(embryo : 0.0056),(untreated : 0.0137),(state : 0.0388),(cotyledon : 0.0022),(phloem : 0.0444),(remodel : 0.0277),(intact : 0.0289),(mechanism : 0.0469),(genetic : 0.0218),(methyltransferase : 0.0282),(mediate : 0.0001),(chromatin : 0.0001),(bacterial : 0.0443),(germline : 0.0023),(somatic : 0.0185),(genomes : 0.0053),(dna : 0.0141),(ectopic : 0.018),(unlabeled : 0.0055),(warm : 0.0159),(herbarium : 0.0344),(vil : 0.0159),(dynamic : 0.0001),(open : 0.032),(label : 0.0055),(stability : 0.0042),(removal : 0.0056),(exposure : 0.0107),(variation : 0.0037),(epigenome : 0.0001),(transposable : 0.003),(poliv : 0.0233),(leave : 0.0298),(haz : 0.0008),(require : 0.0095),(° : 0.0472),(targeting : 0.018),(model : 0.0137),(gsnor : 0.029),(male : 0.021),(repression : 0.0045),(hkme : 0.0001),(differentiation : 0.0001),(flc : 0.0053),(embryos : 0.0306),(examination : 0.0055),(bbm : 0.0053),(ubpubp : 0.0056),(haub : 0.0056),(stable : 0.0056),(element : 0.0053),(overlap : 0.024),(spm : 0.0369),(ac : 0.0005),(sssi : 0.018),(axe : 0.0184),(convergent : 0.0313),(replication : 0.0055),(fri : 0.0105),(signature : 0.0026),(coordinate : 0.0313),(role : 0.027),(region : 0.0009),(modulate : 0.0119),(temporal : 0.0001),(gene : 0.034),(ibm : 0.0307),(body : 0.0001),(protease : 0.0056),(embryogenic : 0.0053),(small : 0.0493),(hkac : 0.0001),(brdu : 0.0055),(zfsssi : 0.018),(fld : 0.0184),(cg : 0.0394),(ubiquitin : 0.0237),(pra : 0.0127),(hk : 0.0006),(hyrad : 0.0031),(reporter : 0.027),(anti : 0.0186),(atxr : 0.0062),(arp : 0.0054),(project : 0.0002),(baby : 0.0053),(boom : 0.0053),(ldl : 0.0005),(distinct : 0.0102),(lag : 0.0109),(hta : 0.0109)
